,race,priors_count,age_cat_Greater than 45,age_cat_Less than 25,sex_Male,c_charge_degree_M
0,0,0.5405642963874484,0,0,1,0
1,1,0.2702821481937242,1,0,1,0
2,1,0.2702821481937242,0,0,1,1
3,0,0.8108464445811726,0,0,0,0
4,1,3.2433857783246904,0,0,1,0
5,0,0.0,0,0,1,0
6,0,0.0,1,0,1,0
7,1,0.2702821481937242,0,0,1,0
8,1,2.4325393337435175,0,0,1,0
9,0,4.324514371099587,1,0,1,0
10,0,0.5405642963874484,1,0,1,1
11,1,0.0,0,0,1,0
12,1,0.5405642963874484,0,1,1,0
13,0,0.0,0,1,1,1
14,0,0.0,1,0,1,1
15,1,0.0,1,0,0,1
16,1,0.8108464445811726,0,0,1,1
17,0,0.2702821481937242,0,0,1,0
18,1,0.5405642963874484,0,0,1,0
19,1,0.2702821481937242,0,0,0,1
20,0,0.5405642963874484,1,0,0,0
21,1,1.0811285927748968,1,0,1,0
22,1,0.5405642963874484,0,0,1,0
23,0,0.5405642963874484,0,1,0,0
24,1,0.5405642963874484,0,0,1,1
25,1,1.8919750373560693,1,0,0,1
26,1,2.4325393337435175,1,0,1,0
27,0,0.0,1,0,1,1
28,1,0.8108464445811726,0,0,1,0
29,1,0.2702821481937242,1,0,1,0
30,1,2.1622571855497936,0,0,1,0
31,1,0.0,0,1,0,1
32,1,0.0,0,0,1,0
33,0,0.2702821481937242,1,0,1,1
34,0,1.351410740968621,0,1,1,0
35,1,1.6216928891623452,1,0,1,1
36,1,0.0,0,0,1,1
37,1,0.2702821481937242,0,1,1,0
38,1,0.0,1,0,1,0
39,0,0.0,0,1,1,0
40,1,0.0,0,1,0,0
41,0,0.0,0,0,1,1
42,0,0.8108464445811726,0,0,1,0
43,1,0.5405642963874484,0,0,1,0
44,0,1.0811285927748968,0,0,1,0
45,1,0.2702821481937242,0,1,1,0
46,0,0.2702821481937242,0,0,1,0
47,0,0.5405642963874484,0,0,1,1
48,1,0.0,1,0,1,1
49,0,0.0,0,0,1,0
50,1,0.2702821481937242,0,0,0,1
51,1,0.2702821481937242,0,0,1,1
52,1,0.0,0,0,1,0
53,1,6.216489408455656,1,0,1,0
54,1,3.5136679265184143,0,0,1,0
55,0,5.405642963874484,1,0,1,0
56,1,2.973103630130966,1,0,1,0
57,1,0.5405642963874484,0,0,1,0
58,1,0.8108464445811726,1,0,1,1
59,1,0.0,0,1,0,1
60,1,1.0811285927748968,0,0,0,1
61,0,1.0811285927748968,0,0,1,1
62,1,0.0,0,1,0,0
63,1,3.7839500747121386,0,0,1,0
64,0,0.0,1,0,0,0
65,0,0.0,0,1,1,0
66,0,1.351410740968621,0,1,1,0
67,1,2.1622571855497936,0,0,1,1
68,1,0.8108464445811726,1,0,1,0
69,1,1.6216928891623452,0,0,1,1
70,1,7.297618001230553,0,0,1,1
71,1,0.0,0,0,1,1
