,income_50k
185871,0
56410,0
37917,0
189179,0
191292,0
65703,0
158777,0
45766,0
80092,0
55360,0
69999,0
39027,0
44360,0
49928,0
127696,0
61918,0
74011,0
42797,0
54201,0
78703,0
179,0
74262,0
149834,0
108774,0
174100,0
133268,0
67851,0
175178,0
19599,0
29791,0
167441,0
52361,0
2815,0
102249,0
174075,0
61880,0
142185,0
114881,0
11569,0
128442,0
110346,0
57370,1
101840,0
113321,0
149187,0
14506,0
67680,0
145366,0
109667,0
135127,0
151982,0
47552,0
170382,0
95441,0
30467,0
93094,0
188221,0
27021,0
93149,0
78793,0
53378,0
30709,0
179840,0
21802,0
105582,0
163668,0
106025,0
73223,0
11381,0
187999,1
101241,0
73468,0
174486,0
4283,0
130103,0
132244,0
33018,0
131937,0
111392,0
96286,0
183021,0
5562,0
91073,0
182847,0
20857,0
162045,0
9462,0
81438,0
43870,0
181509,1
121800,0
38974,0
10236,0
95583,0
171907,0
4127,0
34376,0
113789,0
190447,0
173618,0
155132,0
88109,0
128413,0
150932,0
140381,0
10996,1
43730,0
19828,0
702,0
30227,0
168016,0
140975,0
39786,0
156759,0
112791,0
151787,1
171547,1
194944,0
5058,0
152438,0
94861,0
153461,0
160108,0
68513,0
86152,0
76562,0
31607,0
11589,0
61700,0
51596,0
144200,0
182984,0
92633,0
69818,0
59702,0
92419,0
29209,0
180493,1
136150,0
89363,0
43085,0
36754,0
196877,0
90093,0
17136,0
179479,0
67234,0
151171,0
109998,0
197903,0
72663,0
16489,0
149515,0
104490,0
90047,0
153258,0
156892,0
77051,0
26763,0
130796,0
15903,0
75071,0
111257,0
83813,1
88300,0
73219,0
37929,0
142334,0
58594,0
3938,0
154742,0
14722,0
19747,0
166021,0
33507,0
14356,0
60555,0
164144,0
61888,0
82008,0
51842,0
122289,0
192785,0
71799,0
159254,0
139770,0
140267,0
116657,0
31028,0
189761,0
14341,0
138449,0
35958,0
103917,0
19799,0
85665,0
20736,0
98105,0
12575,0
151345,0
100660,0
106870,0
172212,0
143667,0
60737,0
36512,0
192722,0
152639,0
18905,0
86741,0
19475,0
31686,0
63579,0
57297,0
46484,0
157006,0
133655,0
184850,0
155632,1
160404,0
198210,0
162838,0
177196,1
88895,0
131016,0
47495,0
156089,0
33395,0
187569,0
11340,0
99740,0
152994,0
69667,0
124401,0
37614,0
132433,0
133299,0
31230,0
49240,0
59881,0
47462,0
78935,1
64884,0
165631,0
19789,0
106100,1
191236,0
71608,0
154684,0
730,0
143398,0
75640,0
89245,0
64130,0
161448,0
43790,0
80992,0
4832,0
48399,0
48394,0
89199,0
71925,0
112194,0
126373,1
93108,0
78740,0
115324,0
54225,0
124885,0
171303,0
53235,0
100421,0
62069,0
120634,0
71844,0
65803,0
64554,0
71160,0
482,0
53322,0
107966,0
58799,0
108583,1
124464,0
9805,0
47660,0
104282,0
63982,0
96207,0
171413,0
126321,0
35573,0
59967,0
127983,0
66044,1
96785,0
7314,0
153008,0
45989,0
474,0
57576,0
198148,0
37866,0
109276,0
135878,1
31295,0
162566,0
66050,0
56303,0
44339,0
148586,0
35312,1
89053,0
95463,0
46096,0
97055,0
62519,0
24185,0
166775,0
92037,1
84185,0
98941,0
70652,0
20630,0
89237,0
32886,0
9355,1
86397,0
154920,0
6003,0
173921,0
119142,0
56370,0
12032,0
175690,0
142560,0
140391,1
187908,0
197828,1
97712,0
26201,0
70692,0
96945,0
176367,0
95974,0
106484,0
146859,0
102397,0
159430,0
177321,0
65904,0
156007,0
8807,0
114994,0
72638,0
60773,0
20539,0
167331,0
142460,0
135265,0
96982,0
30647,0
16559,0
99088,0
156927,0
195361,0
137700,0
152987,1
174625,0
189756,0
146951,0
142839,0
44701,0
8295,0
145077,0
125950,0
136552,0
88711,0
172404,0
196998,0
70413,0
114115,0
185567,0
138102,0
101614,0
175200,0
93703,0
156057,0
179787,0
109153,0
58352,0
179336,0
93795,0
137143,0
157655,0
8253,0
178048,0
3542,0
91973,0
8530,0
12617,0
171425,0
57962,0
99200,0
148269,0
76387,0
23385,0
151954,0
171869,1
68258,0
90549,0
46908,0
189926,0
180135,0
8806,0
13130,0
163874,0
6752,0
4939,0
24614,0
173059,0
191302,0
35983,0
93137,0
56216,0
40106,0
103568,0
9424,0
117433,0
122853,0
161539,0
151522,0
92734,0
5520,1
186364,0
89968,0
127673,0
69409,0
